epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1365.15,0.88363,0.60217,0.90297,0.79765,0.71177,0.76957,0.54329,1.01516,0.73377,0.95228,0.0009365,0.0009365,0.0009365
78,1381.64,0.90524,0.61359,0.90641,0.82341,0.67868,0.74063,0.5305,0.98637,0.73192,0.93142,0.000932375,0.000932375,0.000932375
79,1398.37,0.90485,0.61624,0.91372,0.82351,0.71038,0.76363,0.53649,1.00808,0.74473,0.94647,0.00092825,0.00092825,0.00092825
80,1416.87,0.91163,0.62091,0.91946,0.83597,0.71672,0.76904,0.5489,1.00243,0.7427,0.93739,0.000924125,0.000924125,0.000924125
81,1436.63,0.88987,0.61968,0.91362,0.86099,0.69077,0.77068,0.54564,1.00653,0.75281,0.94328,0.00092,0.00092,0.00092
82,1454.13,0.88453,0.60709,0.91028,0.84661,0.71529,0.77356,0.54185,0.98955,0.71358,0.95236,0.000915875,0.000915875,0.000915875
83,1472.15,0.8963,0.61063,0.90632,0.86655,0.70111,0.77598,0.54106,1.00374,0.74052,0.93833,0.00091175,0.00091175,0.00091175
84,1489.2,0.88752,0.60866,0.90705,0.89738,0.6885,0.7703,0.54547,0.9912,0.71387,0.95217,0.000907625,0.000907625,0.000907625
85,1505.87,0.86436,0.5847,0.89938,0.85462,0.68184,0.7592,0.53339,0.99494,0.72022,0.94078,0.0009035,0.0009035,0.0009035
86,1523.28,0.887,0.60626,0.91315,0.82833,0.70019,0.76678,0.54259,0.99641,0.7322,0.94151,0.000899375,0.000899375,0.000899375
87,1540.36,0.87859,0.59743,0.90095,0.8514,0.69833,0.76516,0.54568,1.01039,0.7259,0.94168,0.00089525,0.00089525,0.00089525
88,1557,0.8611,0.59956,0.90711,0.84593,0.72018,0.78287,0.55048,0.9852,0.69969,0.94251,0.000891125,0.000891125,0.000891125
89,1573.77,0.88873,0.59977,0.89887,0.8288,0.7158,0.77207,0.5404,0.99002,0.73238,0.93928,0.000887,0.000887,0.000887
90,1590.49,0.8597,0.5723,0.90442,0.87927,0.69723,0.77791,0.55618,0.98551,0.70437,0.93639,0.000882875,0.000882875,0.000882875
91,1607.4,0.89362,0.59886,0.91381,0.80071,0.69839,0.75528,0.53418,0.98463,0.75849,0.93292,0.00087875,0.00087875,0.00087875
92,1624.18,0.84517,0.57982,0.90912,0.85663,0.69771,0.77843,0.55036,0.98123,0.72588,0.93145,0.000874625,0.000874625,0.000874625
93,1641.17,0.86382,0.5817,0.89701,0.87714,0.67506,0.76467,0.54296,0.99637,0.72849,0.92986,0.0008705,0.0008705,0.0008705
94,1658.27,0.87243,0.57488,0.90422,0.80754,0.68794,0.74537,0.52606,0.99419,0.77283,0.93932,0.000866375,0.000866375,0.000866375
95,1675.6,0.86619,0.5934,0.9018,0.84584,0.70819,0.76741,0.55172,0.99274,0.71714,0.92836,0.00086225,0.00086225,0.00086225
96,1692.65,0.86359,0.57897,0.89696,0.82867,0.72662,0.77656,0.55413,0.9936,0.72291,0.93046,0.000858125,0.000858125,0.000858125
97,1709.2,0.8906,0.60124,0.90634,0.88273,0.68634,0.77454,0.54624,0.98076,0.71782,0.93237,0.000854,0.000854,0.000854
98,1726.32,0.85355,0.57073,0.90071,0.8721,0.69517,0.78329,0.5499,0.98503,0.68658,0.93931,0.000849875,0.000849875,0.000849875
99,1743.94,0.85618,0.56309,0.89054,0.84415,0.72482,0.77699,0.54934,0.98927,0.70454,0.93405,0.00084575,0.00084575,0.00084575
100,1761.34,0.84142,0.55187,0.89899,0.86996,0.71372,0.78267,0.5527,0.99536,0.66794,0.93467,0.000841625,0.000841625,0.000841625
101,1778.34,0.85947,0.5736,0.88848,0.88176,0.71876,0.7833,0.54929,0.99336,0.67002,0.9393,0.0008375,0.0008375,0.0008375
102,1795.53,0.84763,0.57687,0.88493,0.8765,0.70037,0.77596,0.54974,0.99893,0.72523,0.94224,0.000833375,0.000833375,0.000833375
103,1812.68,0.84072,0.56534,0.89627,0.88409,0.71267,0.78416,0.55308,0.98928,0.68347,0.93953,0.00082925,0.00082925,0.00082925
104,1830.15,0.84026,0.57032,0.89351,0.85326,0.71368,0.7693,0.55568,0.9864,0.69838,0.92464,0.000825125,0.000825125,0.000825125
105,1847.17,0.83107,0.56593,0.89142,0.86974,0.71478,0.77332,0.55271,0.99314,0.70451,0.931,0.000821,0.000821,0.000821
106,1863.92,0.85163,0.56494,0.89442,0.83606,0.69221,0.75968,0.54517,1.01285,0.74325,0.93568,0.000816875,0.000816875,0.000816875
107,1880.91,0.84704,0.56909,0.89624,0.82665,0.71977,0.76279,0.54679,0.98022,0.68962,0.92625,0.00081275,0.00081275,0.00081275
108,1897.44,0.84203,0.56093,0.88969,0.8616,0.70123,0.77092,0.54562,0.99252,0.71495,0.93609,0.000808625,0.000808625,0.000808625
109,1913.99,0.85008,0.56734,0.88986,0.80448,0.7092,0.75443,0.53955,0.99563,0.75774,0.93557,0.0008045,0.0008045,0.0008045
110,1930.83,0.84091,0.56966,0.89344,0.89384,0.70133,0.78671,0.56361,0.97721,0.69073,0.93692,0.000800375,0.000800375,0.000800375
111,1947.58,0.82951,0.55122,0.88655,0.8824,0.71766,0.78026,0.55624,1.00372,0.70935,0.93997,0.00079625,0.00079625,0.00079625
112,1964.09,0.83757,0.54576,0.88844,0.87798,0.69905,0.78895,0.55537,0.99752,0.68661,0.93023,0.000792125,0.000792125,0.000792125
113,1980.78,0.83072,0.54996,0.88385,0.9077,0.6993,0.78844,0.5569,1.01495,0.67598,0.94207,0.000788,0.000788,0.000788
114,1997.09,0.82301,0.5453,0.88853,0.8733,0.70009,0.78183,0.55562,0.9857,0.68354,0.93556,0.000783875,0.000783875,0.000783875
115,2014.1,0.79945,0.53366,0.8793,0.89303,0.69697,0.77735,0.56651,0.96542,0.69098,0.92306,0.00077975,0.00077975,0.00077975
116,2031.23,0.83506,0.54997,0.89008,0.86658,0.69702,0.77925,0.56045,0.96131,0.69498,0.92702,0.000775625,0.000775625,0.000775625
117,2048.07,0.82793,0.53766,0.88612,0.86785,0.71351,0.77331,0.55209,1.00285,0.72373,0.93533,0.0007715,0.0007715,0.0007715
118,2064.61,0.82097,0.53123,0.88505,0.85978,0.71983,0.78171,0.56495,0.97286,0.68765,0.92821,0.000767375,0.000767375,0.000767375
119,2081.77,0.81272,0.52913,0.88143,0.84378,0.72968,0.78705,0.57188,0.94538,0.65862,0.92344,0.00076325,0.00076325,0.00076325
120,2099.09,0.81543,0.53371,0.88815,0.88434,0.69809,0.7878,0.5708,0.96385,0.69151,0.92924,0.000759125,0.000759125,0.000759125
121,2117.01,0.79945,0.5253,0.87755,0.85149,0.71893,0.78743,0.56422,0.99436,0.67985,0.9376,0.000755,0.000755,0.000755
122,2135.45,0.8019,0.53125,0.88424,0.88143,0.72778,0.79152,0.56226,0.98341,0.67966,0.92756,0.000750875,0.000750875,0.000750875
123,2153.27,0.81382,0.52519,0.88698,0.88958,0.6899,0.77031,0.54491,0.97847,0.68264,0.93134,0.00074675,0.00074675,0.00074675
124,2170.65,0.80994,0.52458,0.87733,0.87067,0.70237,0.78166,0.55782,0.9977,0.68074,0.9405,0.000742625,0.000742625,0.000742625
125,2187.63,0.80224,0.52228,0.88187,0.87766,0.72776,0.79794,0.56715,0.99005,0.68419,0.93625,0.0007385,0.0007385,0.0007385
126,2204.49,0.80929,0.53567,0.8843,0.86369,0.73066,0.79071,0.5639,0.98283,0.66175,0.93415,0.000734375,0.000734375,0.000734375
127,2221.44,0.80937,0.52915,0.87932,0.88657,0.72601,0.7923,0.57033,0.98904,0.66486,0.93518,0.00073025,0.00073025,0.00073025
128,2238.39,0.79414,0.52587,0.87632,0.86047,0.73064,0.79078,0.57397,0.97603,0.67057,0.92787,0.000726125,0.000726125,0.000726125
129,2255.67,0.78789,0.51054,0.87946,0.8765,0.69923,0.78697,0.56752,0.99293,0.65772,0.93723,0.000722,0.000722,0.000722
130,2272.55,0.79172,0.52279,0.87681,0.89538,0.69622,0.78867,0.56897,0.96251,0.63992,0.93012,0.000717875,0.000717875,0.000717875
131,2289.96,0.79991,0.52593,0.88312,0.89987,0.69466,0.78482,0.56789,0.94503,0.64325,0.915,0.00071375,0.00071375,0.00071375
132,2306.98,0.78842,0.51149,0.87503,0.87893,0.72074,0.79063,0.57466,0.93713,0.64959,0.90438,0.000709625,0.000709625,0.000709625
133,2323.98,0.81302,0.52213,0.88302,0.84776,0.71499,0.77688,0.56728,0.94363,0.65998,0.91453,0.0007055,0.0007055,0.0007055
134,2341,0.79286,0.51835,0.87753,0.88228,0.70951,0.78764,0.57101,0.9483,0.67013,0.91497,0.000701375,0.000701375,0.000701375
135,2358.03,0.8006,0.50741,0.87446,0.87138,0.72394,0.78563,0.56703,0.98231,0.66934,0.92347,0.00069725,0.00069725,0.00069725
136,2375.18,0.78167,0.5102,0.87584,0.84239,0.73167,0.78652,0.56946,0.96516,0.65158,0.932,0.000693125,0.000693125,0.000693125
137,2392.06,0.79532,0.51754,0.86845,0.85916,0.7173,0.78163,0.57491,0.95904,0.66966,0.927,0.000689,0.000689,0.000689
138,2409.22,0.79101,0.51769,0.87728,0.8561,0.71157,0.77694,0.55909,1.0004,0.67531,0.93656,0.000684875,0.000684875,0.000684875
139,2427.02,0.79888,0.50973,0.87872,0.8252,0.72255,0.77062,0.55753,0.97307,0.6648,0.93191,0.00068075,0.00068075,0.00068075
140,2445.06,0.76964,0.50616,0.87328,0.8715,0.72485,0.79108,0.57041,0.96114,0.65444,0.93395,0.000676625,0.000676625,0.000676625
141,2462.93,0.77978,0.51329,0.87188,0.89996,0.70011,0.79667,0.57586,0.9555,0.64784,0.92816,0.0006725,0.0006725,0.0006725
142,2480.62,0.78532,0.51596,0.86832,0.85364,0.72495,0.78512,0.57222,0.96836,0.66883,0.9264,0.000668375,0.000668375,0.000668375
143,2497.41,0.77194,0.50835,0.87555,0.85918,0.73581,0.78973,0.57432,0.95867,0.66443,0.92483,0.00066425,0.00066425,0.00066425
144,2516.39,0.77001,0.49799,0.86906,0.89035,0.70185,0.78199,0.56874,0.95906,0.66478,0.93191,0.000660125,0.000660125,0.000660125
145,2534.52,0.78868,0.514,0.87221,0.84228,0.7423,0.79811,0.58276,0.94666,0.62675,0.92159,0.000656,0.000656,0.000656
146,2551.37,0.77205,0.50438,0.87799,0.87933,0.71174,0.79164,0.57521,0.96018,0.68088,0.92335,0.000651875,0.000651875,0.000651875
147,2568.23,0.77828,0.51177,0.87876,0.85916,0.71706,0.78584,0.57026,0.97824,0.68563,0.92679,0.00064775,0.00064775,0.00064775
148,2585.11,0.77729,0.49706,0.869,0.8633,0.72168,0.79251,0.57631,0.96818,0.64885,0.93842,0.000643625,0.000643625,0.000643625
149,2601.95,0.78645,0.51464,0.87749,0.87774,0.72027,0.7853,0.5721,0.95796,0.66069,0.93394,0.0006395,0.0006395,0.0006395
150,2618.94,0.76282,0.49452,0.86803,0.86368,0.71507,0.78754,0.57094,0.94471,0.68328,0.91762,0.000635375,0.000635375,0.000635375
151,2638.18,0.76681,0.49692,0.86055,0.86902,0.71785,0.78858,0.57223,0.95091,0.67497,0.92152,0.00063125,0.00063125,0.00063125
152,2655.78,0.77171,0.49728,0.86484,0.89797,0.70675,0.7877,0.56676,0.96414,0.6729,0.92987,0.000627125,0.000627125,0.000627125
153,2673.1,0.75236,0.48918,0.86341,0.87314,0.71371,0.78438,0.57375,0.96367,0.66256,0.92827,0.000623,0.000623,0.000623
154,2689.97,0.7719,0.49969,0.87067,0.8913,0.7063,0.7903,0.58188,0.95499,0.66838,0.92839,0.000618875,0.000618875,0.000618875
155,2706.2,0.75572,0.49165,0.87218,0.86537,0.72951,0.78815,0.56737,0.96891,0.65279,0.93384,0.00061475,0.00061475,0.00061475
156,2724.55,0.74929,0.48453,0.86033,0.88539,0.72671,0.79499,0.57094,0.964,0.65926,0.92349,0.000610625,0.000610625,0.000610625
157,2741.18,0.77529,0.49682,0.86715,0.86156,0.71909,0.78405,0.56658,0.96421,0.66019,0.93184,0.0006065,0.0006065,0.0006065
158,2758.16,0.76693,0.50138,0.86726,0.86405,0.71591,0.78311,0.57071,0.97436,0.65628,0.93464,0.000602375,0.000602375,0.000602375
159,2774.68,0.74568,0.48973,0.86485,0.86541,0.72594,0.78306,0.56921,0.96553,0.68717,0.92655,0.00059825,0.00059825,0.00059825
160,2791.86,0.77968,0.50443,0.87203,0.90443,0.72259,0.79995,0.56997,0.9648,0.66286,0.92718,0.000594125,0.000594125,0.000594125
161,2809.02,0.76442,0.49574,0.86348,0.88963,0.72086,0.78863,0.57492,0.96787,0.66497,0.92906,0.00059,0.00059,0.00059
162,2826.3,0.746,0.47723,0.86512,0.88232,0.72435,0.79602,0.57512,0.96231,0.65177,0.92021,0.000585875,0.000585875,0.000585875
163,2844.15,0.7369,0.47979,0.86159,0.85319,0.75154,0.80205,0.58034,0.95421,0.66411,0.92296,0.00058175,0.00058175,0.00058175
164,2860.58,0.76055,0.48442,0.86447,0.90579,0.71735,0.7986,0.57059,0.95938,0.66084,0.9216,0.000577625,0.000577625,0.000577625
165,2877.21,0.76302,0.48594,0.86976,0.89315,0.71694,0.79585,0.57392,0.96581,0.6655,0.93244,0.0005735,0.0005735,0.0005735
166,2896.14,0.76344,0.48741,0.86446,0.89541,0.70538,0.79195,0.57762,0.95552,0.67632,0.9251,0.000569375,0.000569375,0.000569375
167,2914.42,0.75718,0.48132,0.86087,0.89903,0.69773,0.78472,0.57053,0.94804,0.6618,0.92143,0.00056525,0.00056525,0.00056525
168,2931.04,0.75231,0.4944,0.86401,0.86285,0.71561,0.78874,0.58031,0.95006,0.68629,0.92317,0.000561125,0.000561125,0.000561125
169,2947.8,0.7382,0.4755,0.86301,0.91117,0.72155,0.79914,0.57431,0.98621,0.65917,0.93349,0.000557,0.000557,0.000557
170,2964.88,0.73799,0.48158,0.8613,0.88668,0.72034,0.80041,0.58273,0.95791,0.66476,0.92361,0.000552875,0.000552875,0.000552875
171,2981.59,0.75169,0.48375,0.86321,0.90098,0.72163,0.79746,0.58307,0.94492,0.67029,0.91724,0.00054875,0.00054875,0.00054875
172,2998.68,0.73805,0.47032,0.86643,0.86995,0.73454,0.80146,0.5846,0.95258,0.66142,0.92596,0.000544625,0.000544625,0.000544625
173,3015.98,0.74119,0.48268,0.8594,0.88686,0.70447,0.79369,0.57784,0.94984,0.66668,0.92657,0.0005405,0.0005405,0.0005405
174,3033.83,0.73951,0.47593,0.8589,0.90163,0.71098,0.79097,0.57627,0.96128,0.66365,0.92964,0.000536375,0.000536375,0.000536375
175,3051.25,0.73642,0.47479,0.86479,0.90091,0.71247,0.79069,0.57212,0.96293,0.6783,0.93057,0.00053225,0.00053225,0.00053225
176,3068.56,0.72423,0.4582,0.8609,0.88018,0.72765,0.79173,0.5777,0.94873,0.65555,0.92333,0.000528125,0.000528125,0.000528125
177,3085.85,0.74834,0.47143,0.8664,0.87624,0.73746,0.79359,0.58029,0.95243,0.65448,0.92638,0.000524,0.000524,0.000524
178,3103.25,0.73018,0.4669,0.8622,0.9165,0.70892,0.79046,0.57994,0.94813,0.67021,0.92447,0.000519875,0.000519875,0.000519875
179,3120.83,0.74041,0.47391,0.8673,0.90143,0.71844,0.78918,0.57319,0.95202,0.65452,0.92724,0.00051575,0.00051575,0.00051575
180,3138.11,0.73487,0.47277,0.85791,0.87051,0.73386,0.79682,0.57866,0.94739,0.64914,0.93347,0.000511625,0.000511625,0.000511625
181,3155.04,0.73146,0.46739,0.863,0.89352,0.72393,0.79619,0.57644,0.95404,0.65661,0.92536,0.0005075,0.0005075,0.0005075
182,3172.86,0.72204,0.47102,0.86152,0.88976,0.72603,0.80461,0.58122,0.95282,0.65845,0.92588,0.000503375,0.000503375,0.000503375
183,3190.28,0.71705,0.45899,0.85572,0.90175,0.72596,0.80214,0.57883,0.95712,0.68348,0.92426,0.00049925,0.00049925,0.00049925
