OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
70567,Pacific Ave&Taylor St NE-NS/PS,PACFTAY1,PACFTAYL,5856,37.796164999999995,-122.41327,,TAYLOR ST,PACIFIC AVE,NS,NE,,1,1724754766000,15648335,145,3,POINT (-122.41327 37.796165),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,21,107,107
69353,8th St&Bryant St W-NS/BZ,.8STBRY0,8STBRYT,3204,37.772447,-122.406932,,BRANNAN ST,08TH ST,NS,WE,BZ,0,1724754766000,15644313,145,6,POINT (-122.406932 37.772447),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,1,10,34,33,33
72327,Stockton St&Filbert St NW-NS/PS,STOKFIL1,STOKFILB,6515,37.801418999999996,-122.409461,,FILBERT ST,STOCKTON ST,NS,NW,,0,1724754766000,15651382,145,3,POINT (-122.409461 37.801419),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,23,106,106
69695,341 Corbett Ave SE-MB/PS,CRBTH341,CRBTH341,4165,37.759907999999996,-122.445075,,,CORBETT AVE,MB,SE,,0,1724754766000,15645705,145,8,POINT (-122.445075 37.759908),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,7,5,5,115,115
72068,Powell St&California St NW-NS,POWLCAL1,POWLCALI,6050,37.792211,-122.409294,,CALIFORNIA ST,POWELL ST,NS,NW,,0,1724754766000,15651180,145,3,POINT (-122.409294 37.792211),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,21,16,16
69761,16th Ave & Lawton St. SW-FS/SB,16AVLAWT,16AVLAWT,7231,37.758023,-122.473791,,16TH AVE,LAWTON ST,FS,SW,FL,0,1724754766000,15645904,145,7,POINT (-122.473791 37.758023),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,8,14,44,44
69205,10th Ave&Quintara St NE-FS/PS,10AVQUI1,10AVQUIN,3233,37.749325,-122.466261,,QUINTARA ST,10TH AVE,FS,NE,,0,1724754766000,15643980,145,7,POINT (-122.466261 37.749325),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,8,41,45,45
72167,Lincoln Way&27th Ave SE-FS/BZ,LWAY27A1,LWAY27AV,5317,37.765015999999996,-122.485506,,27TH AVE,LINCOLN WY,FS,SE,BZ,0,1724754766000,15651242,145,4,POINT (-122.485506 37.765016),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,7,35,39,39
71939,Sunnydale Ave&Cora St N-FS/PS,SUNYCOR1,SUNYCORA,6571,37.710203,-122.409612,1,CORA ST,SUNNYDALE AVE,FS,SE,,0,1724754766000,15651033,145,10,POINT (-122.409612 37.710203),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,9,40,75,75
69445,18th St&Danvers St SW-NS/BZ,18STDAN0,18STDANV,3328,37.760239999999996,-122.44349,,DANVERS ST,18TH ST,NS,SW,BZ,0,1724754766000,15645045,145,8,POINT (-122.44349 37.76024),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,3,5,5,115,115
