Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
101110,101110,WHITEHALL ST SW @ WHITEHALL TER SW,-84402927,33744002,Sign on Post,40,Atlanta
101124,101124,PETERS ST SW @ FAIR ST SW,-84401219,33747851,Sign on Post,813,Atlanta
101126,101126,PETERS ST SW @ HAYNES ST SW,-84399750,33749075,Sign on Post,813,Atlanta
101133,101133,MARTIN L KING JR DR NW @ PASCHAL BLVD SW,-84414293,33754779,Shelter,3;68,Atlanta
101135,101135,NORTHSIDE DR @ LARKIN ST,-84405154,33748055,Sign on Post,94;813,Atlanta
101137,101137,NORTHSIDE DR SW @ GREENSFERRY AVE SW,-84406794,33746084,Shelter,94,Atlanta
101139,101139,MARTIN L KING JR DR @ PASCHAL BLVD SW,-84414402,33754609,Sign on Post,3,Atlanta
101144,101144,MARTIN L KING JR DR @ SUNSET AVE,-84410251,33754506,Shelter,3,Atlanta
101156,101156,NORTHSIDE DR SW @ MITCHELL ST SW,-84402845,33753928,Shelter,94,Atlanta
101162,101162,NORTHSIDE DR SW @ CHAPEL ST SW,-84403255,33750867,Sign on Post,94,Atlanta
101165,101165,NORTHSIDE DR SW @ ATLANTA STUDENT MOVEMENT BLVD SW,-84404349,33749396,Sign on Post,94,Atlanta
101166,101166,NORTHSIDE DR SW @ NELSON ST SW,-84403211,33750679,Sign Strapped to Pole,94,Atlanta
101168,101168,MARTIN L KING JR DR @ JAMES P BRAWLEY  DR SW,-84412825,33754673,Sign on Post,3,Atlanta
101446,101446,MARTIN L KING JR DR @ GRIFFIN ST,-84411523,33754536,Sign on Post,3,Atlanta
101448,101448,MARTIN L KING JR DR NW @ SUNSET AVE NW,-84409923,33754738,Sign on Post,3,Atlanta
101460,101460,MCDANIEL ST SW @ WHITEHALL ST SW,-84403770,33743458,Shelter,40,Atlanta
101464,101464,MARTIN L KING JR DR NW @ JAMES P BRAWLEY DR NW,-84412630,33754736,Sign on Post,3,Atlanta
101466,101466,MARTIN L KING JR DR NW @ JOSEPH E LOWERY BLVD NW,-84417391,33754759,Sign on Post,3,Atlanta
101468,101468,W END AVE @ LEE ST,-84414342,33744607,Sign on Post,68,Atlanta
102005,102005,MEMORIAL DR SE @ CAPITOL AVE,-84386727,33746845,Sign Strapped to Pole,21,Atlanta
102009,102009,MEMORIAL DR SE @ HILL ST SE,-84378882,33746792,Simme Seat,9;21;107,Atlanta
102011,102011,HILL ST SE @ WOODWARD AVE SE,-84379324,33745662,Sign on Post,9,Atlanta
102022,102022,PEACHTREE ST SW @ MITCHELL ST SW,-84393057,33750787,Sign Strapped to Pole,40,Atlanta
102026,102026,PRYOR ST SW @ MEMORIAL DR SW,-84394370,33747202,Sign Strapped to Pole,42,Atlanta
102028,102028,PRYOR ST SW @ GARNETT ST SW,-84393686,33748089,Sign Strapped to Pole,42,Atlanta
102042,102042,DECATUR ST SE @ PEACHTREE CENTER AVE,-84387570,33753105,Sign Strapped to Pole,26,Atlanta
