Stop ID,Stop Name,Location
59001,ON 13TH ST WESTBOUND AT MAIN,"(39.09866, -94.583046)"
2800043,ON BLUE RIDGE BLVD AT 8407 BLUE RIDGE NORTHBOUND,"(38.970677, -94.49567)"
1080131,ON INDIANA AT LINWOOD NORTHBOUND,"(39.067659, -94.543666)"
1060073,ON QUINDARO AT 10TH EASTBOUND,"(39.134686, -94.635175)"
3100099,ON 35TH AT JACKSON EASTBOUND NEARSIDE,"(39.062012, -94.534921)"
390064,ON 39TH AT MAIN WESTBOUND,"(39.056635, -94.58599)"
282316,ON 40HWY AT STADIUM DR EASTBOUND,"(39.062503, -94.478425)"
181901,ON N 18TH ST AT LONGWOOD SOUTHBOUND FARSIDE,"(39.136784, -94.651391)"
2921519,ON SPRING AT 317 SPRING SB,"(39.100513, -94.419592)"
951654,ON 95TH AT SWITZER WESTBOUND FARSIDE,"(38.956689, -94.705165)"
2800120,ON 40 HWY AT BOOTH WESTBOUND,"(39.063663, -94.483995)"
6300021,ON 63RD AT SWOPE PKWY WESTBOUND,"(39.011964, -94.542476)"
1070036,ON 7TH AT SPLITLOG SOUTHBOUND,"(39.109118, -94.626866)"
1420002,ON N OAK AT NE 70TH ST SB,"(39.221118, -94.576192)"
1030034,ON 3RD ST  AT RICHMOND SOUTHBOUND,"(39.124308, -94.616153)"
181914,ON N 18TH AT BARNETT NORTHBOUND NEARSIDE,"(39.112565, -94.649271)"
1080301,ON 18TH AT BENTON EASTBOUND,"(39.090693, -94.549776)"
1750070,ON STATE LINE AT 8015 NORTHBOUND,"(38.983417, -94.608184)"
3700591,ON N OAK AT 79TH TERR NORTHBOUND,"(39.237865, -94.575918)"
4700135,ON 39TH AT ROANOKE WESTBOUND,"(39.05715, -94.599703)"
111601,ON SW BLVD AT 25TH SOUTHBOUND,"(39.082497, -94.596881)"
5600169,ON WORNALL AT 72ND NB,"(38.997689, -94.593889)"
1200039,ON JACKSON AT TRUMAN NORTHBOUND FARSIDE,"(39.094181, -94.533139)"
5751510,ON QUIVIRA AT 119TH CT SB,"(38.910237, -94.723865)"
2841512,ON NOLAND AT SEA NB,"(39.082735, -94.413603)"
1420307,ON BARRY AT HICKORY WESTBOUND,"(39.246613, -94.598204)"
3100034,ON 31ST AT HOLMES WESTBOUND,"(39.070743, -94.576418)"
2960036,ON BLUE RIDGE BLVD AT 107TH ST SOUTHBOUND,"(38.930679, -94.507822)"
5600105,ON RED BRIDGE AT GRAND EASTBOUND,"(38.926255, -94.590468)"
26023,ON TROOST AT 27TH NB,"(39.077865, -94.570874)"
2400116,ON INDEPENDENCE AVE AT BENTON EASTBOUND,"(39.106069, -94.544609)"
1020095,ON WESTVIEW AT ANN SOUTHBOUND,"(39.113507, -94.660305)"
2960016,ON BANNISTER AT FREMONT EASTBOUND,"(38.952673, -94.515971)"
6671534,ON W 47TH AT MISSION RD WESTBOUND,"(39.044116, -94.62188)"
114016,ON STATE AVE  AT N 82ND ST WESTBOUND,"(39.116468, -94.770193)"
1161811,ON PARALLEL AT 51ST EASTBOOUND NEARSIDE,"(39.128315, -94.69665)"
2019,75TH & PROSPECT TRANSIT CENTER (LOCAL B),"(38.989938, -94.556532)"
282524,ON BLUE RIDGE BLVD AT OAKLAND NORTHBOUND,"(38.957882, -94.50155)"
1040034,ON 10TH AT CUSTER SOUTHBOUND,"(39.086675, -94.635357)"
1040097,ON 10TH AT MONTANA NORTHBOUND,"(39.092618, -94.635271)"
3100070,ON 31ST AT WAYNE EASTBOUND,"(39.07025, -94.564519)"
5100122,ON BROADWAY AT WESTPORT SOUTHBOUND,"(39.053494, -94.590763)"
1607,CROSSROADS ON MAIN AT 19TH ST SB,"(39.090282, -94.58372)"
5461519,ON NIEMAN RD AT 75TH ST NB,"(38.994082, -94.714346)"
25102,ON FOREST AT PRESIDENT AVE SOUTHBOUND,"(38.978047, -94.575715)"
512301,ON WESTPORT AT MILL WESTBOUND,"(39.052535, -94.59225)"
4700025,ON SWOPE PKWY AT BENTON WESTBOUND,"(39.037122, -94.544062)"
6300095,ON BLUE RIDGE CUT OFF AT 63RD NORTHBOUND,"(39.00943, -94.481769)"
390128,ON 39TH AT WYANDOTTE EASTBOUND,"(39.056611, -94.588564)"
390158,ON CLEVELAND AT 41ST SOUTHBOUND,"(39.051478, -94.540015)"
5600056,ON WORNALL AT 70TH SB,"(39.001945, -94.593698)"
2921502,ON N SPRING BTW WHITE OAK AND FARMER NB,"(39.095067, -94.419706)"
D3701702,DUMMY 12TH ST I-35 NB ON RAMP,"(39.102305, -94.59365)"
2402005,ON TRUMAN AT ROGERS WESTBOUND FARSIDE,"(39.093373, -94.3992)"
5400172,ON PASEO AT 77TH TERR SOUTHBOUND,"(38.986087, -94.566799)"
2800304,ON BLUE RIDGE CUT OFF AT 6524 BLUE RIDGE CUTOFF SB,"(39.0064, -94.482145)"
519196,ON STRANG LINE AT W 123RD NORTHBOUND FARSIDE,"(38.905316, -94.778722)"
7100171,ON PROSPECT AT 50TH SOUTHBOUND,"(39.035433, -94.554711)"
951627,ON 95TH AT OUTLOOK EASTBOUND,"(38.956706, -94.652905)"
2700045,ON 27TH AT PASEO WESTBOUND,"(39.077604, -94.566056)"
6601616,ON ANTIOCH AT W 89TH ST SOUTHBOUND,"(38.966428, -94.686359)"
7100072,ON PROSPECT AT 16TH NORTHBOUND,"(39.093094, -94.551644)"
1420022,ON N OAK AT 6269 N OAK SB,"(39.207187, -94.576365)"
4700180,ON SWOPE PKWY AT BENTON EB,"(39.037084, -94.544455)"
571719,ON OAK AT MINOR SOUTHBOUND,"(38.921645, -94.588498)"
5751595,ON 75TH ST AT BOOTH EB FS,"(38.993121, -94.613813)"
5600141,ON WORNALL AT 99TH NORTHBOUND,"(38.948726, -94.596203)"
495171,ON SCARBOROUGH AT 87TH ST SOUTHBOUND,"(38.970277, -94.781781)"
2400108,ON INDEPENDENCE  AT WOODLAND EASTBOUND,"(39.106561, -94.559764)"
