epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,393.116,0.80627,0.62397,0.90753,0.81165,0.73873,0.74796,0.52924,1.00598,0.85501,0.99332,0.000705176,0.000705176,0.000705176
64,399.462,0.81529,0.63461,0.92244,0.87849,0.71456,0.77702,0.54778,1.02157,0.79423,0.99784,0.000703114,0.000703114,0.000703114
65,405.578,0.78609,0.61054,0.90738,0.88018,0.71049,0.77857,0.56246,0.99501,0.79399,0.9894,0.000701053,0.000701053,0.000701053
66,412.116,0.78434,0.59922,0.9013,0.8526,0.69817,0.77196,0.56004,0.98905,0.85699,0.9786,0.000698991,0.000698991,0.000698991
67,418.317,0.84128,0.62044,0.91659,0.84449,0.73227,0.77771,0.56955,0.99314,0.82862,0.97954,0.000696929,0.000696929,0.000696929
68,425.24,0.79736,0.60696,0.9014,0.89352,0.71701,0.78762,0.56379,1.00745,0.85149,0.98547,0.000694868,0.000694868,0.000694868
69,431.681,0.81151,0.60736,0.92262,0.89856,0.71892,0.78555,0.5656,1.00078,0.81374,0.99234,0.000692806,0.000692806,0.000692806
70,438.077,0.81167,0.62599,0.90947,0.91457,0.70197,0.78566,0.56111,1.00839,0.77836,1.00123,0.000690744,0.000690744,0.000690744
71,444.487,0.78726,0.59934,0.90726,0.8453,0.75085,0.78978,0.56059,1.00491,0.77921,1.01143,0.000688683,0.000688683,0.000688683
72,450.961,0.79601,0.61727,0.90384,0.8665,0.7201,0.7919,0.57422,1.00369,0.77775,0.99229,0.000686621,0.000686621,0.000686621
73,458.16,0.7601,0.59486,0.89502,0.8989,0.68726,0.77459,0.54976,1.03688,0.82424,1.02656,0.000684559,0.000684559,0.000684559
74,464.598,0.77544,0.6044,0.90327,0.89849,0.74489,0.7919,0.57384,0.98941,0.77817,0.97669,0.000682498,0.000682498,0.000682498
75,470.495,0.77623,0.59058,0.90983,0.8953,0.72237,0.79926,0.56502,1.00403,0.75534,0.98836,0.000680436,0.000680436,0.000680436
76,476.383,0.80379,0.62091,0.90462,0.88172,0.72571,0.78753,0.56241,1.02286,0.80549,1.00313,0.000678374,0.000678374,0.000678374
77,482.204,0.77359,0.56989,0.89881,0.93583,0.72249,0.79591,0.57035,0.99367,0.75176,0.9963,0.000676313,0.000676313,0.000676313
78,488.535,0.80578,0.59383,0.90703,0.88883,0.72537,0.7797,0.56343,0.99115,0.80606,0.9944,0.000674251,0.000674251,0.000674251
79,495.289,0.77442,0.58501,0.90785,0.87293,0.70451,0.77313,0.54045,1.03011,0.84632,1.00252,0.000672189,0.000672189,0.000672189
80,501.161,0.78815,0.58868,0.89674,0.86456,0.72129,0.78433,0.56792,0.98723,0.76982,0.99293,0.000670128,0.000670128,0.000670128
81,506.913,0.79235,0.583,0.89349,0.86109,0.71888,0.78063,0.56222,0.99466,0.82459,0.99279,0.000668066,0.000668066,0.000668066
82,512.535,0.75633,0.58528,0.89414,0.918,0.7111,0.78691,0.55465,1.0489,0.82576,1.00625,0.000666004,0.000666004,0.000666004
83,518.705,0.76813,0.57661,0.90864,0.91966,0.72371,0.79664,0.57007,0.99947,0.7872,0.99634,0.000663943,0.000663943,0.000663943
84,525.853,0.78901,0.57586,0.89717,0.9143,0.70629,0.78854,0.55827,0.9803,0.80235,0.97652,0.000661881,0.000661881,0.000661881
85,532.582,0.75962,0.57407,0.89788,0.87514,0.73871,0.80305,0.57122,1.00192,0.79898,0.99432,0.000659819,0.000659819,0.000659819
86,538.204,0.77986,0.55843,0.89811,0.89714,0.70123,0.79348,0.56921,0.98367,0.8011,0.98087,0.000657758,0.000657758,0.000657758
87,543.645,0.75783,0.55657,0.89871,0.92391,0.70805,0.80061,0.58012,0.99349,0.78297,0.9674,0.000655696,0.000655696,0.000655696
88,549.561,0.75169,0.56442,0.89572,0.90316,0.67485,0.77048,0.55201,1.00806,0.81725,0.99012,0.000653634,0.000653634,0.000653634
89,555.419,0.75036,0.53656,0.87692,0.8953,0.75033,0.80504,0.57317,0.97788,0.77568,0.97924,0.000651573,0.000651573,0.000651573
90,562.257,0.79234,0.58962,0.90312,0.93626,0.72924,0.79679,0.57842,0.97267,0.74133,0.98616,0.000649511,0.000649511,0.000649511
91,568.081,0.72157,0.54423,0.88933,0.91943,0.72111,0.79255,0.56847,0.98509,0.75412,0.98651,0.000647449,0.000647449,0.000647449
92,573.972,0.75464,0.54997,0.8844,0.83576,0.69651,0.7766,0.5496,0.9956,0.88312,0.98756,0.000645388,0.000645388,0.000645388
93,579.669,0.76274,0.55691,0.90725,0.90482,0.67506,0.77612,0.54847,0.97896,0.7901,0.97823,0.000643326,0.000643326,0.000643326
94,585.242,0.77097,0.56894,0.91327,0.90172,0.69836,0.76778,0.54937,0.97515,0.83316,0.98009,0.000641264,0.000641264,0.000641264
95,591.75,0.74371,0.54091,0.89254,0.85537,0.71802,0.77806,0.55046,1.004,0.83689,1.00509,0.000639203,0.000639203,0.000639203
96,597.6,0.77122,0.57397,0.88899,0.84701,0.75253,0.78929,0.56514,0.99802,0.78379,0.98707,0.000637141,0.000637141,0.000637141
97,602.991,0.76543,0.57646,0.89855,0.92488,0.69714,0.78681,0.56063,0.99044,0.83227,0.97954,0.000635079,0.000635079,0.000635079
98,608.287,0.74556,0.5474,0.90198,0.83966,0.72222,0.78294,0.55874,0.97573,0.83946,0.96884,0.000633018,0.000633018,0.000633018
99,613.816,0.76662,0.56411,0.89147,0.85925,0.77344,0.81668,0.57895,0.98166,0.76885,0.98453,0.000630956,0.000630956,0.000630956
100,619.657,0.75566,0.56243,0.89531,0.88998,0.755,0.81483,0.58748,0.96618,0.79547,0.96935,0.000628894,0.000628894,0.000628894
