epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,683.078,0.82757,0.5763,0.90192,0.83618,0.78785,0.80399,0.56274,0.98693,0.88951,0.98841,0.000759125,0.000759125,0.000759125
121,688.171,0.8045,0.56298,0.91571,0.86039,0.69614,0.79059,0.56093,0.99656,0.93164,0.99199,0.000755,0.000755,0.000755
122,693.203,0.79839,0.56195,0.91225,0.86153,0.71261,0.79321,0.55336,1.02115,0.94894,0.99808,0.000750875,0.000750875,0.000750875
123,698.252,0.78231,0.54404,0.91349,0.82247,0.75833,0.80025,0.55032,1.04773,0.91415,1.02559,0.00074675,0.00074675,0.00074675
124,703.369,0.77391,0.52926,0.8988,0.86793,0.77111,0.82765,0.58212,1.01683,0.83827,1.00253,0.000742625,0.000742625,0.000742625
125,708.37,0.82034,0.57608,0.91366,0.89609,0.76196,0.83865,0.59176,0.99157,0.8221,1.00369,0.0007385,0.0007385,0.0007385
126,713.898,0.7695,0.62816,0.90412,0.83979,0.78146,0.81892,0.58609,0.98792,0.83582,0.98387,0.000734375,0.000734375,0.000734375
127,718.95,0.78861,0.56046,0.89721,0.83715,0.7867,0.81091,0.5834,0.94597,0.84663,0.96854,0.00073025,0.00073025,0.00073025
128,724.096,0.77188,0.56519,0.901,0.85606,0.758,0.80772,0.57751,0.93133,0.8567,0.97381,0.000726125,0.000726125,0.000726125
129,729.672,0.75986,0.56027,0.91113,0.82139,0.77585,0.811,0.57396,0.96934,0.85075,0.9864,0.000722,0.000722,0.000722
130,734.768,0.75418,0.54807,0.89389,0.79418,0.76477,0.80525,0.57791,0.9761,0.87755,0.97828,0.000717875,0.000717875,0.000717875
131,739.702,0.76075,0.56171,0.88675,0.82703,0.72857,0.79853,0.57187,1.0009,0.92629,0.98914,0.00071375,0.00071375,0.00071375
132,744.654,0.76183,0.51392,0.89802,0.80218,0.77875,0.79276,0.55768,0.97794,0.87032,0.97974,0.000709625,0.000709625,0.000709625
133,749.9,0.78049,0.54098,0.90954,0.83686,0.75101,0.79926,0.56044,0.98808,0.84951,0.98854,0.0007055,0.0007055,0.0007055
