epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,2092.63,0.84122,0.554,0.91736,0.85515,0.80142,0.85008,0.58765,0.96914,0.64479,0.98303,0.00058816,0.00058816,0.00058816
106,2112.84,0.82364,0.53522,0.92114,0.90853,0.7786,0.8526,0.5877,0.95327,0.59229,0.98779,0.0005842,0.0005842,0.0005842
107,2132.88,0.81456,0.54158,0.92091,0.89959,0.7953,0.85561,0.59247,0.95474,0.60474,0.98305,0.00058024,0.00058024,0.00058024
108,2152.12,0.82435,0.53875,0.91691,0.92695,0.76754,0.85019,0.58761,0.96529,0.61468,0.99409,0.00057628,0.00057628,0.00057628
109,2171.53,0.79551,0.54014,0.92046,0.90801,0.75237,0.83578,0.5919,0.93988,0.64511,0.98226,0.00057232,0.00057232,0.00057232
110,2190.57,0.819,0.54717,0.92533,0.92928,0.75862,0.84872,0.58686,0.95206,0.60596,0.97955,0.00056836,0.00056836,0.00056836
111,2209.25,0.81733,0.53821,0.91882,0.92008,0.78526,0.85771,0.60305,0.95226,0.60052,0.97609,0.0005644,0.0005644,0.0005644
112,2229.78,0.8185,0.53881,0.92339,0.92729,0.76391,0.85215,0.59487,0.94439,0.60557,0.97307,0.00056044,0.00056044,0.00056044
113,2249.72,0.80911,0.54344,0.91672,0.9214,0.76454,0.84861,0.59046,0.96368,0.62052,0.99093,0.00055648,0.00055648,0.00055648
114,2268.41,0.82287,0.54709,0.92165,0.88252,0.79989,0.85874,0.5995,0.9393,0.59322,0.98705,0.00055252,0.00055252,0.00055252
115,2287.52,0.80201,0.53537,0.91396,0.91989,0.78664,0.87065,0.60538,0.92532,0.58735,0.97618,0.00054856,0.00054856,0.00054856
116,2306.57,0.79409,0.51843,0.9127,0.92905,0.77061,0.86285,0.59115,0.94756,0.5992,0.97865,0.0005446,0.0005446,0.0005446
117,2325.78,0.80622,0.53464,0.91478,0.88603,0.78181,0.85009,0.59008,0.94574,0.61929,0.98221,0.00054064,0.00054064,0.00054064
